,,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,FTeam,Salary,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
87,Mikael Backlund,CGY,5.35,30,C,70,16,29,45,26,3,17:55,14:55,1:24,1:35,10,3,3,3,0,22,7,0,2,1,32,10,3,5,1,22.20%,0.765,1.387,2.152,0.574,1.263,1.837,1.831,4.273,6.105,0.229,0.414,0.643,157,10.20%,44,11,368,408,47.42%
88,Nick Schmaltz,ARI,5.85,23,C,70,11,34,45,20,3,15:32,13:16,2:14,0:00,9,2,0,2,0,23,11,0,5,1,32,13,0,7,1,28.90%,0.607,1.876,2.483,0.581,1.485,2.066,0.763,4.199,4.962,0.157,0.486,0.643,95,11.60%,12,36,160,216,42.55%
89,Tyler Toffoli,MTL,4.25,27,RW,68,24,20,44,20,-1,16:49,13:45,2:09,0:54,19,5,0,4,1,15,5,0,3,1,34,10,0,7,2,22.70%,1.258,1.048,2.307,1.219,0.962,2.181,2.037,2.037,4.073,0.353,0.294,0.647,203,11.80%,48,16,4,10,28.57%
90,Gabriel Landeskog,COL,5.571,27,LW,54,21,23,44,47,-2,20:01,16:11,3:47,0:03,15,6,0,4,0,14,9,0,4,0,29,15,0,8,0,34.10%,1.165,1.276,2.441,1.03,0.961,1.991,1.759,2.638,4.396,0.389,0.426,0.815,145,14.50%,86,35,273,213,56.17%
91,Tom Wilson,WSH,5.167,25,RW,68,21,23,44,93,-3,18:15,14:23,1:50,2:01,15,5,1,5,1,20,2,1,2,0,35,7,2,7,1,15.90%,1.014,1.111,2.126,0.92,1.226,2.146,2.389,0.955,3.344,0.309,0.338,0.647,154,13.60%,253,58,18,39,31.58%
92,Brady Tkachuk,OTT,3.425,20,LW,71,21,23,44,106,-14,18:56,15:57,2:55,0:03,19,2,0,3,1,17,6,0,6,2,36,8,0,9,3,18.20%,0.937,1.026,1.963,1.006,0.9,1.906,0.578,1.733,2.31,0.296,0.324,0.62,259,8.10%,303,43,144,168,46.15%
93,Clayton Keller,ARI,7.15,21,RW,70,17,27,44,28,-6,16:17,13:34,2:41,0:01,15,2,0,2,0,14,13,0,5,1,29,15,0,7,1,34.10%,0.894,1.42,2.314,0.947,0.884,1.831,0.636,4.131,4.767,0.243,0.386,0.629,184,9.20%,20,13,8,13,38.10%
94,Max Domi,CBJ,5.3,24,C,71,17,27,44,35,-3,17:05,14:45,2:19,0:01,16,1,0,3,2,17,10,0,2,2,33,11,0,5,4,25.00%,0.84,1.335,2.175,0.916,0.974,1.89,0.364,3.64,4.004,0.239,0.38,0.62,179,9.50%,32,13,385,404,48.80%
95,Anthony Cirelli,TBL,1,22,C,68,16,28,44,30,28,18:27,14:43,0:57,2:48,14,1,1,3,1,23,4,1,3,0,37,5,2,6,1,11.40%,0.765,1.338,2.103,0.839,1.378,2.217,0.924,3.698,4.622,0.235,0.412,0.647,113,14.20%,89,47,434,480,47.48%
96,Nikita Gusev,NJD,4.5,27,LW,66,13,31,44,12,-15,14:41,12:12,2:29,0:00,8,5,0,2,0,21,10,0,6,0,29,15,0,8,0,34.10%,0.804,1.918,2.722,0.596,1.564,2.16,1.827,3.655,5.482,0.197,0.47,0.667,158,8.20%,12,7,1,2,33.33%
97,Adam Henrique,ANA,5.825,29,C,71,26,17,43,22,-2,16:52,13:59,2:19,0:33,21,5,0,1,0,13,4,0,2,1,34,9,0,3,1,20.90%,1.302,0.852,2.154,1.269,0.786,2.054,1.817,1.454,3.27,0.366,0.239,0.606,169,15.40%,75,32,512,417,55.11%
98,Brendan Gallagher,MTL,3.75,27,RW,59,22,21,43,29,9,16:54,14:49,2:03,0:01,21,1,0,1,0,17,4,0,2,0,38,5,0,3,0,11.60%,1.323,1.263,2.586,1.44,1.166,2.605,0.495,1.982,2.477,0.373,0.356,0.729,226,9.70%,53,29,12,17,41.38%
99,Jake Guentzel,PIT,6,25,LW,39,20,23,43,14,11,20:37,17:11,3:10,0:16,14,6,0,4,1,19,4,0,5,1,33,10,0,9,2,23.30%,1.492,1.715,3.207,1.253,1.701,2.954,2.909,1.939,4.848,0.513,0.59,1.103,127,15.80%,46,19,22,25,46.81%
100,Anders Lee,NYI,7,29,LW,68,20,23,43,47,8,18:17,15:59,2:17,0:00,18,2,0,6,1,18,5,0,5,1,36,7,0,11,2,16.30%,0.965,1.11,2.075,0.993,0.993,1.987,0.772,1.931,2.704,0.294,0.338,0.632,195,10.30%,102,50,90,109,45.23%
101,Alex Iafallo,LAK,2.425,26,C,70,17,26,43,14,1,18:55,15:00,2:28,1:26,11,6,0,3,2,23,3,0,3,1,34,9,0,6,3,20.9%,0.77,1.177,1.947,0.628,1.314,1.943,2.076,1.038,3.114,0.243,0.371,0.614,142,12.0%,49,47,11,12,47.83%
102,Connor Brown,OTT,3.6,25,RW,71,16,27,43,24,-6,20:06,15:50,1:40,2:36,13,3,0,1,0,24,1,2,6,0,37,4,2,7,0,9.3%,0.672,1.134,1.807,0.694,1.28,1.974,1.52,0.507,2.027,0.225,0.38,0.606,173,9.3%,39,35,29,39,42.65%
103,Joshua Bailey,NYI,5,30,C,68,14,29,43,10,-12,16:53,13:39,1:47,1:26,11,2,1,2,0,22,7,0,7,1,33,9,1,9,1,20.9%,0.731,1.514,2.245,0.71,1.421,2.131,0.981,3.434,4.415,0.206,0.426,0.632,94,14.9%,20,48,128,129,49.81%
104,David Krejcí,BOS,7.25,33,C,61,13,30,43,23,14,17:09,15:16,1:51,0:02,10,3,0,3,1,19,11,0,9,3,29,14,0,12,4,32.6%,0.745,1.719,2.464,0.644,1.223,1.867,1.594,5.844,7.438,0.213,0.492,0.705,83,15.7%,37,32,373,363,50.68%
105,Jean-Gabriel Pageau,NYI,5,27,C,67,26,16,42,49,4,19:08,15:07,1:46,2:14,18,5,3,5,1,8,5,3,2,1,26,10,6,7,2,23.8%,1.216,0.748,1.964,1.066,0.474,1.54,2.517,2.517,5.034,0.388,0.239,0.627,151,17.2%,128,53,614,534,53.48%
106,Victor Olofsson,BUF,3.05,24,RW,54,20,22,42,6,-1,18:23,14:56,3:19,0:07,9,11,0,4,1,16,6,0,2,0,25,17,0,6,1,40.5%,1.209,1.33,2.538,0.67,1.19,1.86,3.679,2.007,5.686,0.37,0.407,0.778,127,15.8%,10,16,1,1,50.00%
107,Rickard Rakell,ANA,3.8,26,RW,65,15,27,42,12,-5,18:09,15:08,2:21,0:39,12,3,0,2,1,18,6,3,0,0,30,9,3,2,1,21.4%,0.762,1.372,2.134,0.731,1.097,1.828,1.172,2.345,3.517,0.231,0.415,0.646,186,8.1%,81,29,10,3,76.92%
108,Gustav Nyquist,CBJ,5.5,30,RW,70,15,27,42,16,4,18:01,14:47,2:34,0:39,11,3,1,3,1,21,6,0,4,1,32,9,1,7,2,21.4%,0.713,1.283,1.996,0.637,1.216,1.854,0.997,1.994,2.991,0.214,0.386,0.6,151,9.9%,37,26,17,16,51.52%
109,Matt Duchene,NSH,8,28,C,66,13,29,42,24,-4,16:52,14:12,2:38,0:01,8,5,0,1,0,23,6,0,4,2,31,11,0,5,2,26.2%,0.7,1.562,2.262,0.512,1.471,1.983,1.718,2.061,3.779,0.197,0.439,0.636,136,9.6%,40,22,388,306,55.91%
110,Ryan Getzlaf,ANA,8.25,34,C,69,13,29,42,58,-16,18:43,15:35,2:26,0:42,10,3,0,5,1,23,6,0,4,1,33,9,0,9,2,21.4%,0.604,1.347,1.951,0.558,1.283,1.841,1.07,2.141,3.211,0.188,0.42,0.609,143,9.1%,125,69,530,504,51.26%
111,Robert Thomas,STL,1.208,20,C,66,10,32,42,18,9,14:33,13:07,1:25,0:00,9,1,0,2,0,26,6,0,9,1,35,7,0,11,1,16.7%,0.624,1.998,2.622,0.623,1.801,2.424,0.638,3.825,4.463,0.152,0.485,0.636,87,11.5%,13,13,136,181,42.90%
112,Kevin Hayes,PHI,7.142,27,RW,69,23,18,41,34,-6,17:43,14:04,1:38,2:00,15,4,4,5,2,15,3,0,3,0,30,7,4,8,2,17.1%,1.128,0.883,2.011,0.927,0.927,1.853,2.116,1.587,3.704,0.333,0.261,0.594,175,13.1%,88,22,415,411,50.24%
113,Jason Zucker,PIT,5.5,27,LW,60,20,21,41,21,-4,16:20,13:56,2:17,0:06,13,7,0,4,0,16,5,0,5,0,29,12,0,9,0,29.3%,1.224,1.285,2.51,0.933,1.148,2.081,3.045,2.175,5.221,0.333,0.35,0.683,111,18.0%,53,23,12,29,29.27%
114,Mikko Rantanen,COL,9.25,23,RW,42,19,22,41,14,-2,18:56,15:26,3:30,0:00,11,8,0,5,0,16,6,0,3,1,27,14,0,8,1,34.1%,1.432,1.659,3.091,1.018,1.481,2.499,3.265,2.449,5.714,0.452,0.524,0.976,107,17.8%,28,23,44,31,58.67%
115,Ondrej Palat,TBL,5.3,28,LW,69,17,24,41,22,25,16:10,14:01,1:19,0:50,12,4,1,2,0,20,4,0,5,1,32,8,1,7,1,19.5%,0.914,1.29,2.203,0.744,1.24,1.985,2.622,2.622,5.244,0.246,0.348,0.594,128,13.3%,146,61,7,14,33.33%
116,Nicholas Suzuki,MTL,1.542,20,C,71,13,28,41,6,-15,15:59,13:31,2:10,0:17,7,6,0,1,0,20,8,0,3,1,27,14,0,4,1,34.1%,0.687,1.48,2.167,0.437,1.25,1.687,2.335,3.113,5.448,0.183,0.394,0.577,138,9.4%,64,32,304,354,46.20%
117,Anthony Duclair,OTT,1.65,24,LW,66,23,17,40,18,-5,16:16,12:45,2:34,0:56,16,5,2,2,2,14,3,0,4,1,30,8,2,6,3,20.0%,1.285,0.95,2.235,1.14,0.998,2.138,1.766,1.06,2.826,0.348,0.258,0.606,184,12.5%,53,39,3,3,50.00%
118,James van Riemsdyk,PHI,7,30,LW,66,19,21,40,8,5,14:54,12:19,2:33,0:01,15,4,0,2,0,16,5,0,4,0,31,9,0,6,0,22.5%,1.159,1.281,2.44,1.107,1.18,2.287,1.419,1.774,3.193,0.288,0.318,0.606,151,12.6%,25,18,8,15,34.78%
119,Jordan Eberle,NYI,5.5,29,RW,58,16,24,40,12,1,17:48,15:12,2:35,0:00,12,4,0,1,0,17,7,0,3,0,29,11,0,4,0,27.5%,0.929,1.394,2.323,0.816,1.156,1.973,1.595,2.791,4.386,0.276,0.414,0.69,136,11.8%,37,39,3,6,33.33%
120,Conor Garland,ARI,1,23,RW,68,22,17,39,20,1,14:09,12:02,2:05,0:00,18,4,0,5,0,11,6,0,0,0,29,10,0,5,0,25.6%,1.372,1.06,2.431,1.318,0.806,2.124,1.683,2.524,4.207,0.324,0.25,0.574,158,13.9%,26,21,4,7,36.36%
121,Jakob Silfverberg,ANA,5.25,29,LW,66,21,18,39,14,0,17:41,13:38,2:22,1:39,15,4,2,1,0,15,3,0,1,1,30,7,2,2,1,17.9%,1.08,0.925,2.005,0.999,0.999,1.999,1.528,1.146,2.674,0.318,0.273,0.591,155,13.6%,28,41,8,33,19.51%
122,Jamie Benn,DAL,9.5,30,LW,69,19,20,39,53,-4,16:26,13:45,2:23,0:16,11,8,0,4,2,14,6,0,3,0,25,14,0,7,2,35.9%,1.005,1.058,2.063,0.695,0.885,1.58,2.902,2.176,5.078,0.275,0.29,0.565,163,11.7%,167,57,244,193,55.84%
123,Anthony Beauvillier,NYI,2.1,22,LW,68,18,21,39,15,-11,17:15,14:50,1:46,0:38,14,3,1,3,2,17,4,0,5,2,31,7,1,8,4,17.9%,0.92,1.074,1.994,0.832,1.011,1.843,1.49,1.986,3.476,0.265,0.309,0.574,132,13.6%,86,36,9,4,69.23%
124,Logan Couture,SJS,6,30,C,52,16,23,39,18,0,18:31,14:05,2:45,1:41,16,0,0,3,3,12,9,2,3,0,28,9,2,6,3,23.1%,0.996,1.432,2.429,1.311,0.983,2.294,0,3.774,3.774,0.308,0.442,0.75,126,12.7%,54,45,195,248,44.02%
125,Lars Eller,WSH,3.5,30,C,69,16,23,39,48,3,17:00,12:50,1:44,2:25,13,2,1,1,1,18,4,1,6,0,31,6,2,7,1,15.4%,0.818,1.176,1.994,0.88,1.218,2.098,1,2,3,0.232,0.333,0.565,151,10.6%,59,44,536,498,51.84%
126,Christian Dvorak,ARI,4.45,23,C,70,18,20,38,12,6,16:41,13:40,2:43,0:17,12,6,0,2,1,16,4,0,4,0,28,10,0,6,1,26.3%,0.924,1.027,1.951,0.752,1.003,1.755,1.884,1.256,3.14,0.257,0.286,0.543,134,13.4%,39,36,523,426,55.11%
127,Paul Stastny,WPG,6.5,34,C,71,17,21,38,24,6,17:07,13:42,2:18,1:05,12,5,0,3,1,15,5,1,3,0,27,10,1,6,1,26.3%,0.839,1.036,1.875,0.74,0.924,1.664,1.824,1.824,3.649,0.239,0.296,0.535,136,12.5%,63,32,624,515,54.78%
128,Anthony Mantha,DET,5.7,25,RW,43,16,22,38,34,-7,18:53,15:49,3:03,0:00,10,6,0,3,0,19,3,0,0,0,29,9,0,3,0,23.7%,1.182,1.625,2.806,0.882,1.675,2.557,2.741,1.37,4.111,0.372,0.512,0.884,137,11.7%,49,25,16,22,42.11%
129,Phil Kessel,ARI,8,32,RW,70,14,24,38,22,-21,17:08,13:57,3:09,0:02,5,9,0,2,0,16,8,0,4,0,21,17,0,6,0,44.7%,0.7,1.2,1.899,0.307,0.983,1.29,2.447,2.175,4.621,0.2,0.343,0.543,153,9.2%,11,20,2,7,22.22%
1,John Carlson,WSH,8,29,D,69,15,60,75,26,12,24:36:00,19:06,4:00,1:29,13,2,0,6,0,36,24,0,7,3,49,26,0,13,3,34.70%,0.53,2.12,2.65,0.591,1.638,2.229,0.434,5.207,5.641,0.217,0.87,1.087,189,7.90%,55,108,0,1,0.00%
2,Roman Josi,NSH,9.059,29,D,69,16,49,65,41,22,25:46:00,20:29,3:16,2:00,12,4,0,1,0,30,19,0,8,1,42,23,0,9,1,35.40%,0.54,1.653,2.193,0.509,1.273,1.782,1.061,5.041,6.102,0.232,0.71,0.942,260,6.20%,52,108,0,0,0.00%
3,Victor Hedman,TBL,7.875,29,D,66,11,44,55,31,27,24:03:00,18:36,3:05,2:21,7,4,0,3,0,26,18,0,8,2,33,22,0,11,2,40.00%,0.416,1.663,2.078,0.342,1.27,1.612,1.176,5.292,6.468,0.167,0.667,0.833,155,7.10%,73,97,0,0,0.00%
4,Anthony Deangelo,NYR,4.8,24,D,68,15,38,53,47,12,19:17,16:09,3:04,0:02,12,3,0,3,2,22,16,0,8,1,34,19,0,11,3,35.80%,0.686,1.738,2.425,0.655,1.201,1.856,0.86,4.588,5.448,0.221,0.559,0.779,149,10.10%,48,57,0,0,0.00%
5,Quinton Hughes,VAN,1.604,20,D,68,8,45,53,22,-10,21:53,18:01,3:48,0:02,5,3,0,2,1,23,22,0,4,1,28,25,0,6,2,47.20%,0.323,1.814,2.137,0.245,1.126,1.371,0.694,5.092,5.786,0.118,0.662,0.779,126,6.40%,7,46,0,0,0.00%
6,Alex Pietrangelo,VGK,8.8,29,D,70,16,36,52,20,11,24:11:00,19:14,3:05,1:50,10,6,0,3,0,19,16,1,6,4,29,22,1,9,4,42.30%,0.567,1.276,1.843,0.445,0.846,1.291,1.661,4.43,6.092,0.229,0.514,0.743,225,7.10%,47,89,0,0,0.00%
7,Cale Makar,COL,2.854,21,D,57,12,38,50,12,12,21:00,17:11,3:43,0:06,8,4,0,4,0,23,15,0,6,2,31,19,0,10,2,38.00%,0.601,1.904,2.505,0.49,1.409,1.899,1.13,4.239,5.37,0.211,0.667,0.877,121,9.90%,45,47,0,0,0.00%
8,Torey Krug,STL,6.5,28,D,61,9,40,49,33,-4,20:29,16:30,3:53,0:05,7,2,0,4,2,14,26,0,8,2,21,28,0,12,4,57.10%,0.432,1.92,2.352,0.417,0.834,1.251,0.507,6.586,7.092,0.148,0.656,0.803,144,6.30%,36,48,0,0,0.00%
9,Ryan Suter,MIN,7.538,34,D,69,8,40,48,12,-6,24:38:00,19:18,2:54,2:25,6,2,0,2,0,24,16,0,10,3,30,18,0,12,3,37.50%,0.282,1.412,1.694,0.27,1.081,1.351,0.597,4.779,5.376,0.116,0.58,0.696,111,7.20%,48,93,0,0,0.00%
10,Shea Theodore,VGK,5.2,24,D,71,13,33,46,25,12,22:14,18:59,3:06,0:08,11,1,1,4,2,18,15,0,7,1,29,16,1,11,3,34.80%,0.494,1.254,1.748,0.49,0.801,1.291,0.272,4.079,4.351,0.183,0.465,0.648,219,5.90%,20,69,0,0,0.00%
11,Brent Burns,SJS,8,34,D,70,12,33,45,34,-22,25:24:00,20:10,2:46,2:28,7,5,0,1,1,20,12,1,7,2,27,17,1,8,3,37.80%,0.405,1.113,1.518,0.297,0.85,1.147,1.549,3.717,5.266,0.171,0.471,0.643,225,5.30%,72,115,0,0,0.00%
12,Neal Pionk,WPG,3,24,D,71,6,39,45,32,10,23:22,19:32,2:55,0:53,3,3,0,1,0,17,22,0,9,2,20,25,0,10,2,55.60%,0.217,1.41,1.627,0.13,0.735,0.865,0.867,6.355,7.221,0.085,0.549,0.634,177,3.40%,165,78,0,0,0.00%
13,Keith Yandle,FLA,6.35,33,D,69,5,40,45,20,0,19:41,15:56,3:42,0:03,3,2,0,0,0,21,19,0,2,0,24,21,0,2,0,46.70%,0.221,1.766,1.987,0.164,1.146,1.31,0.469,4.458,4.928,0.072,0.58,0.652,129,3.90%,18,51,0,1,0.00%
14,Kristopher Letang,PIT,7.25,32,D,61,15,29,44,38,0,25:43:00,20:00,3:30,2:12,9,6,0,2,0,20,9,0,7,2,29,15,0,9,2,34.10%,0.574,1.109,1.682,0.443,0.983,1.426,1.68,2.52,4.199,0.246,0.475,0.721,177,8.50%,101,91,0,0,0.00%
15,Adam Fox,NYR,1.775,21,D,70,8,34,42,32,22,18:54,16:47,1:58,0:07,7,1,0,4,0,22,12,0,2,1,29,13,0,6,1,31.00%,0.363,1.542,1.904,0.357,1.123,1.48,0.432,5.189,5.621,0.114,0.486,0.6,125,6.40%,35,92,0,0,0.00%
16,Zachary Werenski,CBJ,5,22,D,63,20,21,41,10,9,23:59,19:16,2:43,1:58,14,5,1,4,2,13,8,0,5,1,27,13,1,9,3,31.70%,0.794,0.834,1.628,0.692,0.642,1.334,1.745,2.792,4.538,0.317,0.333,0.651,187,10.70%,36,58,0,0,0.00%
17,Aaron Ekblad,FLA,7.5,23,D,67,5,36,41,26,12,22:58,19:29,1:26,2:01,5,0,0,1,1,29,6,1,6,0,34,6,1,7,1,14.60%,0.195,1.403,1.598,0.23,1.332,1.561,0,3.72,3.72,0.075,0.537,0.612,147,3.40%,34,84,0,0,0.00%
18,Dougie Hamilton,CAR,5.75,26,D,47,14,26,40,32,30,23:17,17:47,3:09,2:19,12,2,0,3,2,15,10,1,6,1,27,12,1,9,3,30.00%,0.768,1.426,2.193,0.861,1.076,1.937,0.807,4.036,4.844,0.298,0.553,0.851,170,8.20%,52,63,0,0,0.00%
19,Jeff Petry,MTL,5.5,32,D,71,11,29,40,26,-10,23:38,19:08,2:24,2:05,7,3,1,3,2,20,9,0,6,2,27,12,1,9,4,30.00%,0.393,1.037,1.43,0.309,0.883,1.192,1.055,3.164,4.218,0.155,0.408,0.563,158,7.00%,177,79,0,0,0.00%
20,Erik Karlsson,SJS,11.5,29,D,56,6,34,40,16,-15,24:31:00,18:56,3:00,2:34,4,1,1,0,0,22,12,0,5,0,26,13,1,5,0,32.50%,0.262,1.486,1.748,0.226,1.245,1.471,0.357,4.28,4.637,0.107,0.607,0.714,120,5.00%,26,74,0,0,0.00%
21,Rasmus Dahlin,BUF,3.775,19,D,59,4,36,40,38,-7,19:17,15:50,3:21,0:05,2,2,0,1,0,19,17,0,5,1,21,19,0,6,1,47.50%,0.211,1.897,2.108,0.128,1.22,1.348,0.606,5.147,5.753,0.068,0.61,0.678,90,4.40%,72,51,0,0,0.00%
22,Thomas Chabot,OTT,8,22,D,71,6,33,39,42,-18,26:00:00,22:30,3:15,0:14,6,0,0,0,0,22,11,0,4,3,28,11,0,4,3,28.20%,0.195,1.072,1.267,0.225,0.826,1.052,0,2.854,2.854,0.085,0.465,0.549,186,3.20%,79,85,0,0,0.00%
23,Tyson Barrie,EDM,3.75,28,D,70,5,34,39,16,-7,21:52,19:10,2:40,0:02,4,1,0,0,0,23,11,0,4,0,27,12,0,4,0,30.80%,0.196,1.332,1.528,0.179,1.028,1.207,0.321,3.534,3.856,0.071,0.486,0.557,169,3.00%,47,76,0,0,0.00%
24,Ryan Ellis,NSH,6.25,28,D,49,8,30,38,19,16,23:30,18:56,2:13,2:21,6,2,0,3,2,23,7,0,3,1,29,9,0,6,3,23.70%,0.417,1.563,1.98,0.388,1.487,1.875,1.105,3.866,4.971,0.163,0.612,0.776,114,7.00%,48,96,0,0,0.00%
25,Shea Weber,MTL,7.857,34,D,65,15,21,36,33,8,24:00:00,18:36,2:10,3:13,12,3,0,2,0,16,5,0,3,0,28,8,0,5,0,22.20%,0.577,0.807,1.384,0.595,0.794,1.389,1.278,2.13,3.408,0.231,0.323,0.554,185,8.10%,112,114,0,0,0.00%
26,Ivan Provorov,PHI,6.75,22,D,69,13,23,36,24,11,24:50:00,19:03,3:02,2:44,6,7,0,3,1,13,9,1,3,2,19,16,1,6,3,44.40%,0.455,0.805,1.26,0.274,0.593,0.867,1.999,2.57,4.57,0.188,0.333,0.522,150,8.70%,84,111,0,0,0.00%
27,Jaccob Slavin,CAR,5.3,25,D,68,6,30,36,10,30,23:24,19:23,0:54,3:06,6,0,0,3,1,26,3,1,1,0,32,3,1,4,1,8.30%,0.226,1.131,1.357,0.273,1.183,1.456,0,2.894,2.894,0.088,0.441,0.529,145,4.10%,43,107,0,0,0.00%
28,Ryan Pulock,NYI,5,25,D,68,10,25,35,14,8,22:24,19:09,1:46,1:29,7,3,0,3,1,20,5,0,2,0,27,8,0,5,1,22.90%,0.394,0.984,1.378,0.323,0.922,1.244,1.498,2.497,3.996,0.147,0.368,0.515,163,6.10%,110,139,0,0,0.00%
29,Miro Heiskanen,DAL,3.425,20,D,68,8,27,35,12,14,23:46,19:24,2:17,2:04,8,0,0,0,0,20,7,0,7,2,28,7,0,7,2,20.00%,0.297,1.002,1.299,0.364,0.909,1.273,0,2.699,2.699,0.118,0.397,0.515,163,4.90%,40,84,0,0,0.00%
30,Drew Doughty,LAK,11,30,D,67,7,28,35,36,-16,25:48:00,20:35,3:06,2:06,2,5,0,2,2,18,9,1,7,2,20,14,1,9,4,40.00%,0.243,0.971,1.214,0.087,0.783,0.87,1.439,2.59,4.028,0.104,0.418,0.522,141,5.00%,106,87,0,0,0.00%
31,Mikhail Sergachyov,TBL,1.775,21,D,70,10,24,34,58,15,20:22,17:19,1:52,1:09,4,5,1,0,0,16,8,0,4,1,20,13,1,4,1,38.20%,0.421,1.01,1.431,0.198,0.791,0.989,2.286,3.657,5.943,0.143,0.343,0.486,118,8.50%,106,99,0,0,0.00%
32,Kevin Shattenkirk,ANA,3.9,30,D,70,8,26,34,38,22,18:53,17:12,1:21,0:19,7,1,0,0,0,20,6,0,1,0,27,7,0,1,0,20.60%,0.363,1.18,1.543,0.349,0.997,1.345,0.628,3.766,4.394,0.114,0.371,0.486,131,6.10%,62,66,0,0,0.00%
33,Oscar Klefbom,EDM,4.167,26,D,62,5,29,34,24,-17,25:24:00,19:17,3:37,2:29,3,2,0,0,0,13,16,0,6,0,16,18,0,6,0,52.90%,0.19,1.104,1.295,0.15,0.652,0.803,0.533,4.264,4.797,0.081,0.468,0.548,159,3.10%,45,180,0,0,0.00%
34,Samuel Girard,COL,5,21,D,70,4,30,34,17,1,21:18,18:48,2:24,0:05,3,1,0,1,0,18,12,0,3,2,21,13,0,4,2,38.20%,0.161,1.207,1.367,0.137,0.82,0.957,0.356,4.272,4.628,0.057,0.429,0.486,96,4.20%,46,92,0,0,0.00%
35,Matt Niskanen,PHI,5.75,33,D,68,8,25,33,29,15,21:54,17:13,2:03,2:37,3,4,1,0,0,16,9,0,4,0,19,13,1,4,0,39.40%,0.322,1.007,1.329,0.154,0.82,0.973,1.721,3.873,5.594,0.118,0.368,0.485,126,6.40%,124,84,0,0,0.00%
36,Mattias Ekholm,NSH,3.75,29,D,68,8,25,33,32,-1,23:22,19:13,1:19,2:49,7,0,1,2,0,19,5,1,6,1,26,5,2,8,1,15.20%,0.302,0.944,1.246,0.321,0.872,1.194,0,3.325,3.325,0.118,0.368,0.485,154,5.20%,49,100,0,0,0.00%
37,Rasmus Ristolainen,BUF,5.4,25,D,69,6,27,33,46,-2,22:47,18:13,2:19,2:15,4,2,0,0,0,19,7,1,4,2,23,9,1,4,2,27.30%,0.229,1.03,1.259,0.191,0.907,1.098,0.748,2.617,3.364,0.087,0.391,0.478,128,4.70%,203,82,0,0,0.00%
38,Alexander Edler,VAN,6,33,D,59,5,28,33,62,13,22:37,18:20,1:11,3:04,4,1,0,1,0,22,6,0,2,1,26,7,0,3,1,21.20%,0.225,1.259,1.484,0.222,1.22,1.441,0.852,5.115,5.967,0.085,0.475,0.559,118,4.20%,108,162,0,0,0.00%
39,Darnell Nurse,EDM,5.6,24,D,71,5,28,33,48,-2,23:27,20:21,1:03,2:02,5,0,0,1,0,23,5,0,2,0,28,5,0,3,0,15.20%,0.18,1.009,1.189,0.208,0.955,1.162,0,3.981,3.981,0.07,0.394,0.465,170,2.90%,172,141,0,0,0.00%
40,Jared Spurgeon,MIN,7.575,30,D,62,12,20,32,18,-1,22:34,17:37,2:29,2:26,9,3,0,2,0,10,10,0,1,0,19,13,0,3,0,40.60%,0.514,0.857,1.372,0.494,0.549,1.043,1.162,3.874,5.036,0.194,0.323,0.516,112,10.70%,61,102,0,1,0.00%
41,John Klingberg,DAL,4.25,27,D,58,6,26,32,22,-10,22:09,19:19,2:32,0:18,4,2,0,0,0,11,15,0,6,1,15,17,0,6,1,53.10%,0.28,1.213,1.494,0.214,0.589,0.803,0.813,6.097,6.91,0.103,0.448,0.552,120,5.00%,29,72,0,0,0.00%
42,Charlie McAvoy,BOS,4.9,22,D,67,5,27,32,41,24,23:09,19:59,1:20,1:49,4,1,0,1,1,25,1,1,3,0,29,2,1,4,1,6.30%,0.193,1.044,1.237,0.179,1.12,1.299,0.664,0.664,1.328,0.075,0.403,0.478,101,5.00%,131,132,0,0,0.00%
43,Alex Goligoski,ARI,5.475,34,D,70,4,28,32,24,8,23:03,18:46,1:55,2:21,2,2,0,0,0,19,9,0,3,1,21,11,0,3,1,34.40%,0.149,1.041,1.19,0.091,0.868,0.959,0.89,4.005,4.895,0.057,0.4,0.457,101,4.00%,91,134,0,0,0.00%
44,Filip Hronek,DET,1,22,D,65,9,22,31,46,-38,23:53,18:07,2:52,2:53,8,1,0,0,0,13,9,0,1,0,21,10,0,1,0,32.30%,0.348,0.85,1.198,0.408,0.662,1.07,0.321,2.886,3.207,0.138,0.338,0.477,125,7.20%,105,74,0,0,0.00%
45,Damon Severson,NJD,4.167,25,D,69,8,23,31,52,-20,22:57,18:31,1:59,2:27,5,3,0,2,0,16,7,0,4,0,21,10,0,6,0,32.30%,0.303,0.871,1.174,0.235,0.751,0.986,1.31,3.058,4.368,0.116,0.333,0.449,114,7.00%,81,97,0,0,0.00%
